Symbol;DT;Quantity;Entry;Exit;ProfitLoss
MNQ;2026-01-05;3;25628;25628;0
MNQ;2026-01-05;-3;25629.75;25629.75;0
MNQ;2026-01-05;-3;25627.25;25618;55.5
MNQ;2026-01-05;-3;25615.75;25623.25;-45
MNQ;2026-01-05;-3;25625.75;25627;-7.5
MNQ;2026-01-05;-3;25628;25627;6
MNQ;2026-01-05;-10;25626.5;25622.25;85
MNQ;2026-01-05;-3;25625.5;25630.75;-31.5
MNQ;2026-01-05;-10;25628.5;25622;130
MNQ;2026-01-05;-10;25605.75;25599;135
MNQ;2026-01-05;10;25600.25;25603;55
MNQ;2026-01-05;10;25607;25602;-100
MNQ;2026-01-05;10;25604.5;25599.5;-100
MNQ;2026-01-05;10;25598.5;25588.25;-205
MNQ;2026-01-05;-10;25588.75;25589.75;-20
MNQ;2026-01-05;10;25591.5;25585.75;-115
MNQ;2026-01-05;-10;25583.5;25566;350
MNQ;2026-01-05;-10;25583.25;25566;345
MNQ;2026-01-05;-10;25562;25562;0
MNQ;2026-01-05;-10;25562;25562;0
MNQ;2026-01-05;-10;25569.25;25575.75;-130
MNQ;2026-01-05;-10;25570;25575.75;-115
MNQ;2026-01-05;-10;25574;25574;0
MNQ;2026-01-05;-10;25574;25574;0
MNQ;2026-01-05;30;25582.5;25597.75;915
MNQ;2026-01-05;-30;25591.75;25597.25;-330
MNQ;2026-01-05;10;25597.25;25609;235
MNQ;2026-01-05;10;25599.25;25609;195
MNQ;2026-01-05;10;25599;25609;200
MNQ;2026-01-05;-30;25601.75;25592.5;555
MNQ;2026-01-06;-3;25651;25660.5;-57
MNQ;2026-01-06;-3;25646.5;25637.75;52.5
MNQ;2026-01-06;-3;25646;25658.25;-73.5
MNQ;2026-01-06;-3;25636.75;25635;10.5
MNQ;2026-01-06;-3;25643.75;25637.5;37.5
MNQ;2026-01-06;3;25641.5;25641.75;1.5
MNQ;2026-01-06;-3;25628.25;25625;19.5
MNQ;2026-01-06;-3;25617.75;25616.75;6
MNQ;2026-01-06;3;25616.25;25629.75;81
MNQ;2026-01-06;3;25637;25637.25;1.5
MNQ;2026-01-06;3;25643.75;25663;115.5
MNQ;2026-01-06;3;25677.5;25677.5;0
MNQ;2026-01-06;3;25679.75;25711.75;192
MNQ;2026-01-06;3;25692;25711.75;118.5
MNQ;2026-01-06;3;25690;25743.25;319.5
MNQ;2026-01-06;3;25709.5;25710.25;4.5
MNQ;2026-01-06;3;25727;25743.25;97.5
MNQ;2026-01-06;-3;25735;25735;0
MNQ;2026-01-06;-3;25736;25742.25;-37.5
MNQ;2026-01-06;3;25749;25756;42
MNQ;2026-01-06;3;25749;25756;42
MNQ;2026-01-06;-3;25753.25;25756.5;-19.5
MNQ;2026-01-06;3;25761.25;25766;28.5
MNQ;2026-01-06;3;25761.25;25766;28.5
MNQ;2026-01-06;-3;25750.5;25750.5;0
MNQ;2026-01-06;-3;25751.25;25751.25;0
MNQ;2026-01-06;-3;25751.25;25751.25;0
MNQ;2026-01-06;-3;25751.25;25765.5;-85.5
MNQ;2026-01-06;-3;25751.25;25765.5;-85.5
MNQ;2026-01-06;3;25765.5;25759.75;-34.5
MNQ;2026-01-06;3;25765.5;25759.75;-34.5
MNQ;2026-01-06;-3;25736.5;25736.5;0
MNQ;2026-01-06;-3;25736.5;25736.5;0
MNQ;2026-01-06;3;25759;25749.5;-57
MNQ;2026-01-06;3;25749.75;25749.75;0
MNQ;2026-01-06;-3;25761.75;25768;-37.5
MNQ;2026-01-06;3;25772.75;25764;-52.5
